_;;;;;;;;;
Axis;Energy;Elements=;191;;;;;;
Axis;Position;Elements=;1;;;;;;
Axis;X;Elements=;1;;;;;;
Axis;Y;Elements=;1;;;;;;
;;;;;;;;;
C:\Mac\Home\Documents\Avantage\GonSi111-anneal in UHV\Data Grid.DATA\C1s Scan.VGD;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Position (Pos)\;Pt #003;;;;;;;
;X (X)\µm;46616.6;;;;;;;
;Y (Y)\µm;27642.1;;;;;;;
Binding Energy (E);;;;Fitted envelope;Fitted Peak C sp2;Fitted Peak CO;Fitted Peak C sp3;Fitted Peak SiC;Backgnd.
eV;;Counts / s;;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s
298.080;;2198.08;;2198.08;0.00000;0.00000;0.00000;0.00000;0.00000
297.980;;2241.72;;2241.72;0.00000;0.00000;0.00000;0.00000;0.00000
297.880;;2221.82;;2221.82;0.00000;0.00000;0.00000;0.00000;0.00000
297.780;;2186.92;;2186.92;0.00000;0.00000;0.00000;0.00000;0.00000
297.680;;2217.05;;2217.05;0.00000;0.00000;0.00000;0.00000;0.00000
297.580;;2273.28;;2273.28;0.00000;0.00000;0.00000;0.00000;0.00000
297.480;;2261.54;;2261.54;0.00000;0.00000;0.00000;0.00000;0.00000
297.380;;2335.31;;2335.31;0.00000;0.00000;0.00000;0.00000;0.00000
297.280;;2294.19;;2294.19;0.00000;0.00000;0.00000;0.00000;0.00000
297.180;;2309.97;;2309.97;0.00000;0.00000;0.00000;0.00000;0.00000
297.080;;2288.35;;2288.35;0.00000;0.00000;0.00000;0.00000;0.00000
296.980;;2258.99;;2258.99;0.00000;0.00000;0.00000;0.00000;0.00000
296.880;;2151.99;;2151.99;0.00000;0.00000;0.00000;0.00000;0.00000
296.780;;2250.92;;2250.92;0.00000;0.00000;0.00000;0.00000;0.00000
296.680;;2208.19;;2208.19;0.00000;0.00000;0.00000;0.00000;0.00000
296.580;;2234.23;;2234.23;0.00000;0.00000;0.00000;0.00000;0.00000
296.480;;2221.88;;2221.89;0.00000;0.00000;0.00000;0.00000;0.00000
296.380;;2237.72;;2237.73;0.00000;0.00000;0.00000;0.00000;0.00000
296.280;;2244.03;;2244.04;0.00000;0.00000;0.00000;0.00000;0.00000
296.180;;2285.15;;2285.16;0.00000;0.00000;0.00000;0.00000;0.00000
296.080;;2265.91;;2265.92;0.00000;0.00000;0.00000;0.00000;0.00000
295.980;;2287.21;;2287.22;0.00000;0.00000;0.00000;0.00000;0.00000
295.880;;2246.35;;2246.37;0.00000;0.00000;0.00000;0.00000;0.00000
295.780;;2282.32;;2282.33;0.00000;0.00000;0.00000;0.00000;0.00000
295.680;;2276.82;;2276.85;0.00000;0.00000;0.00000;0.00000;0.00000
295.580;;2219.56;;2219.60;0.00000;0.00000;0.00000;0.00000;0.00000
295.480;;2199.26;;2199.30;0.00000;0.00000;0.00000;0.00000;0.00000
295.380;;2243.67;;2243.73;0.00000;0.00000;0.00000;0.00000;0.00000
295.280;;2406.21;;2406.29;0.00000;0.00000;0.00000;0.00000;0.00000
295.180;;2283.63;;2283.73;0.00000;0.00000;0.00000;0.00000;0.00000
295.080;;2292.03;;2292.16;0.00000;0.00000;0.00000;0.00000;0.00000
294.980;;2179.78;;2179.95;0.00000;0.00000;0.00000;0.00000;0.00000
294.880;;2237.43;;2237.64;0.00000;0.00000;0.00000;0.00000;0.00000
294.780;;2264.74;;2265.00;0.00000;0.00000;0.00000;0.00000;0.00000
294.680;;2304.89;;2305.21;0.00000;0.00000;0.00000;0.00000;0.00000
294.580;;2303.70;;2304.09;0.00000;0.00000;0.00000;0.00000;0.00000
294.480;;2267.32;;2267.80;0.00000;0.00000;0.00000;0.00000;0.00000
294.380;;2247.24;;2247.82;0.00000;0.00000;0.00000;0.00000;0.00000
294.280;;2323.62;;2324.30;0.00000;0.00000;0.00000;0.00000;0.00000
294.180;;2319.73;;2320.53;0.00000;0.00000;0.00000;0.00000;0.00000
294.080;;2362.19;;2363.14;0.00000;0.00000;0.00000;0.00000;0.00000
293.980;;2384.88;;2385.97;0.00000;0.00000;0.00000;0.00000;0.00000
293.880;;2271.39;;2272.65;0.00000;0.00000;0.00000;0.00000;0.00000
293.780;;2264.53;;2265.98;0.00000;0.00000;0.00000;0.00000;0.00000
293.680;;2244.25;;2245.90;0.00000;0.00000;0.00000;0.00000;0.00000
293.580;;2213.58;;2215.43;0.00000;0.00000;0.00000;0.00000;0.00000
293.480;;2198.71;;2200.80;0.00000;0.00000;0.00000;0.00000;0.00000
293.380;;2328.24;;2330.56;0.00000;0.00000;0.00000;0.00000;0.00000
293.280;;2314.07;;2316.63;0.00000;0.00000;0.00000;0.00000;0.00000
293.180;;2368.18;;2370.99;0.00000;0.00000;0.00000;0.00000;0.00000
293.080;;2273.76;;2276.84;0.00000;0.00000;0.00000;0.00000;0.00000
292.980;;2264.88;;2268.23;0.00000;0.00000;0.00000;0.00000;0.00000
292.880;;2328.66;;2332.28;0.00000;0.00000;0.00000;0.00000;0.00000
292.780;;2345.42;;2349.31;0.00000;0.00000;0.00000;0.00000;0.00000
292.680;;2303.72;;2307.89;0.00000;0.00000;0.00000;0.00000;0.00000
292.580;;2348.30;;2352.75;0.00000;0.00000;0.00000;0.00000;0.00000
292.480;;2389.69;;2394.41;0.00000;0.00000;0.00000;0.00000;0.00000
292.380;;2279.85;;2284.85;0.00000;0.00000;0.00000;0.00000;0.00000
292.280;;2250.29;;2255.57;0.00000;0.00000;0.00000;0.00000;0.00000
292.180;;2351.61;;2357.17;0.00000;0.00000;0.00000;0.00000;0.00000
292.080;;2320.40;;2326.25;0.00000;0.00000;0.00000;0.00000;0.00000
291.980;;2318.84;;2324.97;0.00000;0.00000;0.00000;0.00000;0.00000
291.880;;2419.52;;2425.93;0.00000;0.00000;0.00000;0.00000;0.00000
291.780;;2351.54;;2358.24;0.00000;0.00000;0.00000;0.00000;0.00000
